ID,PID,Job,Receptor,Ligand,Affinity,lRMSD,uRMSD,logKi, LE,SILE,FQ,LLE,LELP,Ki
119,119,119,2m9p_A_chian,5280965,-11.95,0,0,-8.759,0.184,3.416,0.958,0.626,44.201,1.74 nM
163,163,169,2m9p_A_chian,68873,-10.99,0,0,-8.056,0.407,4.089,1.108,5.262,6.865,8.79 nM
29,29,33,2m9p_A_chian,9829523,-10.86,0,0,-7.96,0.253,3.514,0.988,4.784,12.551,10.95 nM
216,216,220,2m9p_A_chian,452548,-10.84,0,0,-7.946,0.236,3.437,0.968,1.763,26.199,11.33 nM
130,130,135,2m9p_A_chian,2724385,-10.78,0,0,-7.902,0.196,3.24,0.913,3.035,24.833,12.54 nM
34,34,38,2m9p_A_chian,49846579,-10.37,0,0,-7.601,0.17,3.021,0.849,-3.452,65.017,25.04 nM
189,189,194,2m9p_A_chian,36462,-10.36,0,0,-7.594,0.247,3.376,0.948,2.7,19.813,25.47 nM
116,116,121,2m9p_A_chian,6215,-10.32,0,0,-7.565,0.323,3.649,1.006,5.689,5.808,27.25 nM
239,239,248,2m9p_A_chian,5833,-10.32,0,0,-7.565,0.356,3.758,1.026,3.936,10.192,27.25 nM
166,166,172,2m9p_A_chian,6436,-10.3,0,0,-7.55,0.332,3.676,1.009,6.061,4.485,28.18 nM
203,203,205,2m9p_A_chian,71661251,-10.27,0,0,-7.528,0.158,2.936,0.822,-2.713,64.814,29.65 nM
147,147,153,2m9p_A_chian,5311052,-10.26,0,0,-7.521,0.366,3.776,1.026,5.465,5.618,30.15 nM
96,96,101,2m9p_A_chian,6297,-10.23,0,0,-7.499,0.176,3.026,0.85,-2.955,59.398,31.72 nM
228,228,236,2m9p_A_chian,23725625,-10.23,0,0,-7.499,0.32,3.617,0.997,4.333,9.893,31.72 nM
2,2,4,2m9p_A_chian,31101,-10.17,0,0,-7.455,0.237,3.291,0.926,3.615,16.205,35.1 nM
157,157,163,2m9p_A_chian,67505836,-10.16,0,0,-7.447,0.156,2.904,0.812,-2.616,64.507,35.7 nM
152,152,158,2m9p_A_chian,60838,-10.15,0,0,-7.44,0.236,3.284,0.922,4.095,14.175,36.3 nM
224,224,230,2m9p_A_chian,54732242,-10.14,0,0,-7.433,0.241,3.304,0.925,2.497,20.482,36.92 nM
125,125,130,2m9p_A_chian,39765,-10.09,0,0,-7.396,0.252,3.336,0.933,3.428,15.745,40.17 nM
126,126,131,2m9p_A_chian,441289,-10.09,0,0,-7.396,0.246,3.312,0.927,4.273,12.694,40.17 nM
114,114,113,2m9p_A_chian,67683363,-10.05,0,0,-7.367,0.155,2.873,0.807,1.712,36.485,42.98 nM
6,6,8,2m9p_A_chian,8223,-10.01,0,0,-7.337,0.233,3.239,0.91,5.307,8.712,45.98 nM
22,22,25,2m9p_A_chian,10531,-9.986,0,0,-7.32,0.232,3.231,0.906,5.638,7.252,47.88 nM
223,223,232,2m9p_A_chian,6446,-9.955,0,0,-7.297,0.415,3.837,1.028,4.946,5.666,50.45 nM
160,160,166,2m9p_A_chian,6010,-9.804,0,0,-7.186,0.446,3.879,1.03,5.043,4.806,65.1 nM
172,172,180,2m9p_A_chian,644241,-9.79,0,0,-7.176,0.251,3.262,0.911,0.674,25.904,66.66 nM
241,241,250,2m9p_A_chian,24958200,-9.786,0,0,-7.173,0.408,3.772,1.01,3.519,8.955,67.11 nM
56,56,61,2m9p_A_chian,16850,-9.765,0,0,-7.158,0.391,3.718,1,4.534,6.71,69.53 nM
192,192,200,2m9p_A_chian,443872,-9.76,0,0,-7.154,0.325,3.518,0.962,4.189,9.122,70.12 nM
47,47,51,2m9p_A_chian,110635,-9.685,0,0,-7.099,0.334,3.527,0.963,6.775,0.969,79.58 nM
120,120,125,2m9p_A_chian,5311067,-9.683,0,0,-7.098,0.359,3.602,0.977,5.543,4.333,79.85 nM
162,162,168,2m9p_A_chian,82153,-9.681,0,0,-7.096,0.312,3.456,0.948,5.296,5.769,80.12 nM
103,103,107,2m9p_A_chian,9782,-9.539,0,0,-6.992,0.341,3.51,0.956,5.543,4.249,101.82 nM
32,32,36,2m9p_A_chian,54675776,-9.522,0,0,-6.98,0.298,3.367,0.928,5.596,4.643,104.78 nM
204,204,212,2m9p_A_chian,189821,-9.506,0,0,-6.968,0.297,3.361,0.925,6.081,2.988,107.65 nM
57,57,62,2m9p_A_chian,2794,-9.495,0,0,-6.96,0.288,3.326,0.919,-0.957,27.488,109.67 nM
62,62,67,2m9p_A_chian,71415,-9.49,0,0,-6.956,0.327,3.456,0.942,5.302,5.057,110.6 nM
121,121,126,2m9p_A_chian,20469,-9.475,0,0,-6.945,0.338,3.487,0.947,4.262,7.938,113.43 nM
51,51,55,2m9p_A_chian,42890,-9.413,0,0,-6.9,0.261,3.212,0.891,3.649,12.457,125.94 nM
4,4,6,2m9p_A_chian,54686904,-9.377,0,0,-6.873,0.223,3.056,0.856,5.644,5.512,133.83 nM
173,173,181,2m9p_A_chian,132971,-9.366,0,0,-6.865,0.36,3.524,0.951,3.992,7.982,136.34 nM
21,21,24,2m9p_A_chian,31703,-9.358,0,0,-6.86,0.24,3.118,0.871,4.628,9.301,138.2 nM
214,214,222,2m9p_A_chian,5280793,-9.3,0,0,-6.817,0.321,3.387,0.925,0.738,18.937,152.41 nM
143,143,148,2m9p_A_chian,5994,-9.295,0,0,-6.813,0.404,3.629,0.967,4.734,5.146,153.7 nM
20,20,23,2m9p_A_chian,41867,-9.279,0,0,-6.802,0.238,3.092,0.864,4.57,9.379,157.91 nM
244,244,252,2m9p_A_chian,441290,-9.267,0,0,-6.793,0.244,3.112,0.868,2.777,16.46,161.14 nM
18,18,21,2m9p_A_chian,441243,-9.207,0,0,-6.749,0.188,2.865,0.807,3.211,18.818,178.31 nM
15,15,18,2m9p_A_chian,30323,-9.204,0,0,-6.747,0.242,3.091,0.861,3.487,13.47,179.22 nM
39,39,35,2m9p_A_chian,5388993,-9.204,0,0,-6.747,0.153,2.695,0.756,4.106,17.259,179.22 nM
161,161,167,2m9p_A_chian,487101,-9.171,0,0,-6.722,0.306,3.306,0.906,4.158,8.379,189.48 nM
40,40,43,2m9p_A_chian,13342,-9.159,0,0,-6.714,0.155,2.695,0.757,3.485,20.83,193.36 nM
106,106,111,2m9p_A_chian,5311412,-9.143,0,0,-6.702,0.339,3.402,0.923,4.93,5.228,198.65 nM
175,175,183,2m9p_A_chian,6013,-9.115,0,0,-6.681,0.434,3.657,0.966,4.992,3.892,208.27 nM
129,129,134,2m9p_A_chian,31307,-9.11,0,0,-6.678,0.325,3.353,0.911,5.733,2.906,210.03 nM
75,75,80,2m9p_A_chian,55245,-9.087,0,0,-6.661,0.284,3.213,0.885,2.569,14.409,218.34 nM
136,136,140,2m9p_A_chian,5311066,-9.085,0,0,-6.659,0.303,3.275,0.897,4.52,7.058,219.08 nM
68,68,73,2m9p_A_chian,10280735,-9.082,0,0,-6.657,0.245,3.074,0.854,4.298,9.63,220.19 nM
48,48,52,2m9p_A_chian,10182969,-9.049,0,0,-6.633,0.266,3.142,0.869,3.498,11.786,232.81 nM
138,138,143,2m9p_A_chian,5281104,-9.035,0,0,-6.623,0.301,3.257,0.891,1.736,16.236,238.37 nM
148,148,154,2m9p_A_chian,5360515,-9.031,0,0,-6.62,0.361,3.438,0.924,1.553,14.035,239.99 nM
158,158,164,2m9p_A_chian,9853053,-9.02,0,0,-6.612,0.18,2.789,0.784,-1.839,46.948,244.49 nM
94,94,99,2m9p_A_chian,9878,-9.012,0,0,-6.606,0.334,3.353,0.909,4.353,6.744,247.81 nM
86,86,91,2m9p_A_chian,16678941,-9.003,0,0,-6.599,0.273,3.154,0.871,2.67,14.391,251.6 nM
101,101,106,2m9p_A_chian,5743,-8.985,0,0,-6.586,0.321,3.307,0.9,5.071,4.719,259.36 nM
105,105,108,2m9p_A_chian,71226662,-8.964,0,0,-6.571,0.256,3.085,0.855,2.159,17.234,268.72 nM
42,42,46,2m9p_A_chian,5035,-8.963,0,0,-6.57,0.264,3.112,0.862,0.186,24.181,269.17 nM
140,140,146,2m9p_A_chian,10631,-8.962,0,0,-6.569,0.358,3.412,0.916,4.365,6.158,269.63 nM
63,63,68,2m9p_A_chian,115237,-8.941,0,0,-6.554,0.288,3.191,0.875,2.653,13.544,279.36 nM
89,89,94,2m9p_A_chian,60198,-8.939,0,0,-6.552,0.406,3.536,0.937,4.456,5.161,280.3 nM
185,185,193,2m9p_A_chian,247839,-8.937,0,0,-6.551,0.357,3.403,0.913,4.967,4.437,281.25 nM
154,154,160,2m9p_A_chian,5311000,-8.922,0,0,-6.54,0.319,3.283,0.894,4.211,7.302,288.46 nM
33,33,37,2m9p_A_chian,49806720,-8.913,0,0,-6.533,0.248,3.042,0.847,1.024,22.214,292.88 nM
107,107,110,2m9p_A_chian,5281004,-8.909,0,0,-6.53,0.287,3.18,0.872,3.874,9.253,294.86 nM
144,144,150,2m9p_A_chian,19090,-8.908,0,0,-6.53,0.356,3.392,0.911,4.47,5.787,295.36 nM
117,117,122,2m9p_A_chian,13769,-8.894,0,0,-6.519,0.404,3.519,0.933,5.014,3.725,302.42 nM
137,137,142,2m9p_A_chian,11167602,-8.886,0,0,-6.514,0.269,3.113,0.859,0.288,23.144,306.53 nM
243,243,251,2m9p_A_chian,5311304,-8.812,0,0,-6.459,0.339,3.316,0.895,0.765,16.795,347.31 nM
46,46,49,2m9p_A_chian,5311497,-8.801,0,0,-6.451,0.154,2.617,0.735,1.597,31.52,353.82 nM
54,54,59,2m9p_A_chian,5073,-8.795,0,0,-6.447,0.293,3.17,0.867,2.432,13.703,357.42 nM
35,35,39,2m9p_A_chian,13559281,-8.781,0,0,-6.437,0.274,3.105,0.854,2.511,14.328,365.97 nM
218,218,225,2m9p_A_chian,135415867,-8.748,0,0,-6.412,0.257,3.037,0.84,2.097,16.791,386.93 nM
190,190,197,2m9p_A_chian,5280795,-8.742,0,0,-6.408,0.312,3.217,0.874,0.346,19.429,390.87 nM
167,167,174,2m9p_A_chian,222528,-8.741,0,0,-6.407,0.312,3.217,0.874,3.278,10.029,391.53 nM
122,122,127,2m9p_A_chian,441335,-8.732,0,0,-6.401,0.312,3.213,0.874,3.436,9.503,397.52 nM
104,104,109,2m9p_A_chian,10077130,-8.73,0,0,-6.399,0.243,2.979,0.83,-0.718,29.29,398.86 nM
113,113,118,2m9p_A_chian,5311051,-8.705,0,0,-6.381,0.311,3.203,0.872,3.92,7.914,416.05 nM
231,231,240,2m9p_A_chian,5311101,-8.659,0,0,-6.347,0.289,3.121,0.856,3.275,10.63,449.64 nM
74,74,79,2m9p_A_chian,5717,-8.653,0,0,-6.343,0.211,2.84,0.795,-0.537,32.607,454.22 nM
142,142,147,2m9p_A_chian,6238,-8.632,0,0,-6.327,0.36,3.327,0.891,4.513,5.04,470.61 nM
198,198,206,2m9p_A_chian,221493,-8.62,0,0,-6.319,0.297,3.139,0.856,3.759,8.621,480.24 nM
76,76,81,2m9p_A_chian,216239,-8.617,0,0,-6.316,0.269,3.047,0.838,0.229,22.627,482.68 nM
188,188,196,2m9p_A_chian,222786,-8.6,0,0,-6.304,0.331,3.236,0.874,5.98,0.98,496.73 nM
